Produto,Categoria,Quantidade,Venda
Espresso,Bebida,15,2.50
Cappuccino,Bebida,12,3.80
Latte,Bebida,10,4.20
Cha Verde,Bebida,8,2.80
Croissant,Padaria,9,3.50
Pao de Queijo,Padaria,22,1.80
Brigadeiro,Doceria,18,2.00
Pastel de Nata,Padaria,14,2.20
Bolo de Cenoura,Doceria,6,4.50
Sanduiche Natural,Lanche,7,5.80
Suco de Laranja,Bebida,11,3.20
Agua Mineral,Bebida,20,1.50
Tosta Mista,Lanche,5,4.20
Mousse de Chocolate,Doceria,9,3.80
Cookie,Doceria,16,1.80
Empada de Frango,Salgado,13,2.80
Coxinha,Salgado,17,2.50
Quiche Lorraine,Salgado,4,5.50
Capuccino Gelado,Bebida,6,4.50
Macaron,Doceria,8,2.80
Pao na Chapa,Padaria,12,3.20
Refrigerante,Bebida,15,2.80
Salada Caesar,Lanche,3,7.50
